Time [s],Current [A],Terminal voltage [V],Cycle,Step
0.0,2.5,4.160927753511467,0.0,0.0
1.0,2.5,4.157601075676489,0.0,0.0
2.0,2.5,4.154490994259158,0.0,0.0
3.0,2.5,4.151579735777284,0.0,0.0
4.0,2.5,4.148849144222897,0.0,0.0
5.0,2.5,4.146282844054771,0.0,0.0
6.0,2.5,4.143866411877354,0.0,0.0
7.0,2.5,4.14158685882251,0.0,0.0
8.0,2.5,4.139432527584678,0.0,0.0
9.0,2.5,4.1373935777586475,0.0,0.0
10.0,2.5,4.135460207732003,0.0,0.0
11.0,2.5,4.133623207865335,0.0,0.0
12.0,2.5,4.131876288053798,0.0,0.0
13.0,2.5,4.130210715881797,0.0,0.0
14.0,2.5,4.128621343373044,0.0,0.0
15.0,2.5,4.127102372425127,0.0,0.0
16.0,2.5,4.1256486435085735,0.0,0.0
17.0,2.5,4.124255949522701,0.0,0.0
18.0,2.5,4.122920513753348,0.0,0.0
19.0,2.5,4.121637691133036,0.0,0.0
20.0,2.5,4.1204045357969346,0.0,0.0
21.0,2.5,4.11921859787859,0.0,0.0
22.0,2.5,4.118077799023512,0.0,0.0
23.0,2.5,4.116977284631903,0.0,0.0
24.0,2.5,4.115915940608523,0.0,0.0
25.0,2.5,4.1148922144992515,0.0,0.0
26.0,2.5,4.113904682884345,0.0,0.0
27.0,2.5,4.112949360973445,0.0,0.0
28.0,2.5,4.1120256982856205,0.0,0.0
29.0,2.5,4.1111323466687715,0.0,0.0
30.0,2.5,4.11026804945668,0.0,0.0
31.0,2.5,4.109430366615028,0.0,0.0
32.0,2.5,4.10861857427313,0.0,0.0
33.0,2.5,4.1078315059979635,0.0,0.0
34.0,2.5,4.107068078631514,0.0,0.0
35.0,2.5,4.106326974076594,0.0,0.0
36.0,2.5,4.105607359218209,0.0,0.0
37.0,2.5,4.104908336227618,0.0,0.0
38.0,2.5,4.1042290586599,0.0,0.0
39.0,2.5,4.1035685421348544,0.0,0.0
40.0,2.5,4.1029261716599965,0.0,0.0
41.0,2.5,4.10230128451634,0.0,0.0
42.0,2.5,4.101693276866006,0.0,0.0
43.0,2.5,4.101101600597589,0.0,0.0
44.0,2.5,4.100525726267815,0.0,0.0
45.0,2.5,4.099964502197802,0.0,0.0
46.0,2.5,4.099417847146635,0.0,0.0
47.0,2.5,4.098885319974872,0.0,0.0
48.0,2.5,4.098366517541476,0.0,0.0
49.0,2.5,4.097861072571672,0.0,0.0
50.0,2.5,4.097368645549943,0.0,0.0
51.0,2.5,4.09688808870161,0.0,0.0
52.0,2.5,4.0964195142422435,0.0,0.0
53.0,2.5,4.095962581548417,0.0,0.0
54.0,2.5,4.095516971816701,0.0,0.0
55.0,2.5,4.095082386937095,0.0,0.0
56.0,2.5,4.094658548400727,0.0,0.0
57.0,2.5,4.09424471783567,0.0,0.0
58.0,2.5,4.093840843122007,0.0,0.0
59.0,2.5,4.093446656829645,0.0,0.0
60.0,2.5,4.093061889347226,0.0,0.0
61.0,2.5,4.092686283528498,0.0,0.0
62.0,2.5,4.092319594146908,0.0,0.0
63.0,2.5,4.091961442559183,0.0,0.0
