Ewe/V	time/s	Ece/V	I/mA	Efficiency/%	Ewe-Ece/V	Capacity/mA.h	time/h	arealCapacity	Ewe/VReal	Ece/VReal
3,3091569	183903,1284	0,20197234	0,091570303	0	3,1071846	0	51,08420233	0	3,6191569	0,51197234
3,3205402	183935,1284	0,14970249	0,092138432	0	3,1708376	0,000819002	51,09309122	0,000869721	3,6305402	0,45970249
3,3223355	183967,1284	0,14387779	0,092132702	0	3,1784577	0,001637999	51,10198011	0,001739435	3,6323355	0,45387779
3,3233094	183999,1284	0,13977186	0,092139073	0	3,1835375	0,002456997	51,110869	0,002609151	3,6333094	0,44977186
3,3238058	184031,1284	0,13612427	0,092132702	0	3,1876814	0,003275995	51,11975789	0,003478867	3,6338058	0,44612427
3,3243787	184063,1284	0,13318327	0,092139073	0	3,1911955	0,00409499	51,12864678	0,004348581	3,6343787	0,44318327
3,3247991	184095,1284	0,13024229	0,092142262	0	3,1945567	0,004913984	51,13753567	0,005218293	3,6347991	0,44024229
3,3251429	184127,1284	0,12743497	0,09213461	0	3,1977079	0,00573298	51,14642456	0,006088007	3,6351429	0,43743497
3,3254673	184159,1284	0,12497142	0,092142262	0	3,200496	0,006551975	51,15531345	0,00695772	3,6354673	0,43497142
3,3257539	184191,1284	0,12266064	0,092133977	0	3,2030933	0,007370969	51,16420234	0,007827431	3,6357539	0,43266064
3,3260593	184223,1284	0,12042625	0,092133336	0	3,2056332	0,008189965	51,17309123	0,008697146	3,6360593	0,43042625
3,3262312	184255,1284	0,11842103	0,092135251	0	3,2078102	0,00900896	51,18198012	0,009566859	3,6362312	0,42842103
3,326575	184287,1284	0,11654948	0,092135884	0	3,2100255	0,009827957	51,19086901	0,010436573	3,636575	0,42654948
3,3267851	184319,1284	0,11441058	0,092137799	0	3,2123744	0,010646954	51,1997579	0,011306288	3,6367851	0,42441058
3,3270907	184351,1284	0,11265363	0,092139073	0	3,214437	0,011465947	51,20864679	0,012176	3,6370907	0,42265363
3,327148	184383,1284	0,11074389	0,092132062	0	3,216404	0,01228494	51,21753568	0,01304571	3,637148	0,42074389
3,3275299	184415,1285	0,10891055	0,092135251	0	3,2186193	0,013103932	51,22642457	0,01391542	3,6375299	0,41891055
3,3277018	184447,1285	0,1070772	0,092131428	0	3,2206247	0,013922922	51,23531346	0,014785128	3,6377018	0,4170772
3,3280075	184479,1285	0,10535844	0,09213461	0	3,2226491	0,014741914	51,24420235	0,015654837	3,6380075	0,41535844
3,3281412	184511,1285	0,10377336	0,092140347	0	3,2243679	0,015560904	51,25309124	0,016524546	3,6381412	0,41377336
3,3282747	184543,1285	0,10182542	0,092133977	0	3,2264493	0,016379897	51,26198013	0,017394256	3,6382747	0,41182542
3,3286185	184575,1285	0,10037403	0,092136525	0	3,2282445	0,017198886	51,27086902	0,018263962	3,6386185	0,41037403
3,328886	184607,1285	0,098827139	0,092132062	0	3,2300589	0,018017875	51,27975791	0,019133669	3,638886	0,408827139
3,3289242	184639,1285	0,096879214	0,092138432	0	3,2320449	0,018836862	51,2886468	0,020003374	3,6389242	0,406879214
3,3293824	184671,1285	0,095408715	0,092135884	0	3,2339737	0,01965585	51,29753569	0,02087308	3,6393824	0,405408715
3,3293061	184703,1285	0,093709052	0,092135884	0	3,2355971	0,020474839	51,30642458	0,021742786	3,6393061	0,403709052
3,3296115	184735,1285	0,092295848	0,092144169	0	3,2373157	0,021293828	51,31531347	0,022612492	3,6396115	0,402295848
3,3298409	184767,1285	0,090729862	0,092135251	0	3,2391109	0,022112814	51,32420236	0,023482196	3,6398409	0,400729862
3,3300509	184799,1285	0,089297563	0,092132702	0	3,2407534	0,022931802	51,33309125	0,024351901	3,6400509	0,399297563
3,3301845	184831,1285	0,087693386	0,092133336	0	3,242491	0,02375079	51,34198014	0,025221607	3,6401845	0,397693386
3,3302419	184863,1285	0,086146496	0,09213461	0	3,2440953	0,024569778	51,35086903	0,026091312	3,6402419	0,396146496
3,3306048	184895,1285	0,085077047	0,092137799	0	3,2455277	0,025388766	51,35975792	0,026961017	3,6406048	0,395077047
3,3307002	184927,1285	0,08347287	0,092137158	0	3,2472272	0,026207756	51,36864682	0,027830725	3,6407002	0,39347287
3,3310249	184959,1285	0,082212441	0,092136525	0	3,2488124	0,027026746	51,37753571	0,028700433	3,6410249	0,392212441
3,331063	184991,1285	0,080856532	0,092126325	0	3,2502065	0,027845737	51,3864246	0,029570141	3,641063	0,390856532
3,3313305	185023,1285	0,079061382	0,092132062	0	3,2522693	0,028664726	51,39531349	0,030439848	3,6413305	0,389061382
3,3315215	185055,1286	0,077877343	0,092137799	0	3,2536442	0,029483715	51,40420238	0,031309555	3,6415215	0,387877343
3,3316741	185087,1286	0,076445043	0,092142262	0	3,255229	0,030302702	51,41309127	0,032179259	3,6416741	0,386445043
3,331846	185119,1286	0,075031839	0,092138432	0	3,2568142	0,031121691	51,42198016	0,033048966	3,641846	0,385031839
3,332056	185151,1286	0,073790513	0,092137158	0	3,2582655	0,03194068	51,43086905	0,033918672	3,642056	0,383790513
3,3321517	185183,1286	0,072320014	0,092132062	0	3,2598317	0,032759669	51,43975794	0,034788379	3,6421517	0,382320014
3,3323045	185215,1286	0,071021393	0,092140347	0	3,2612832	0,033578661	51,44864683	0,035658089	3,6423045	0,381021393
3,3325717	185247,1286	0,069894649	0,092133336	0	3,2626772	0,034397654	51,45753572	0,0365278	3,6425717	0,379894649
3,3326674	185279,1286	0,068691514	0,092129521	0	3,2639759	0,035216647	51,46642461	0,037397511	3,6426674	0,378691514
3,3330684	185311,1286	0,067297414	0,092135251	0	3,2657709	0,036035641	51,4753135	0,038267223	3,6430684	0,377297414
3,3330493	185343,1286	0,066094279	0,092132062	0	3,2669549	0,036854634	51,48420239	0,039136934	3,6430493	0,376094279
3,3332212	185375,1286	0,064852946	0,092139073	0	3,2683682	0,037673625	51,49309128	0,040006642	3,6432212	0,374852946
3,3335075	185407,1286	0,063611619	0,092137158	0	3,269896	0,038492615	51,50198017	0,040876349	3,6435075	0,373611619
3,3336031	185439,1286	0,06227481	0,092136525	0	3,2713284	0,039311603	51,51086906	0,041746055	3,6436031	0,37227481
3,3337367	185471,1286	0,061090771	0,092142887	0	3,272646	0,040130595	51,51975795	0,042615765	3,6437367	0,371090771
3,333966	185503,1286	0,05988764	0,092137799	0	3,2740784	0,040949587	51,52864684	0,043485474	3,643966	0,36988764
3,3341188	185535,1286	0,058779992	0,092140347	0	3,2753389	0,041768581	51,53753573	0,044355187	3,6441188	0,368779992
3,3342714	185567,1286	0,057385884	0,092135251	0	3,2768855	0,042587573	51,54642462	0,045224896	3,6442714	0,367385884
3,3343861	185599,1286	0,056335531	0,092126325	0	3,2780507	0,043406566	51,55531351	0,046094607	3,6443861	0,366335531
3,3345008	185631,1286	0,055132397	0,092132062	0	3,2793684	0,044225558	51,5642024	0,046964317	3,6445008	0,365132397
3,334749	185663,1286	0,053814679	0,092133977	0	3,2809343	0,045044548	51,57309129	0,047834025	3,644749	0,363814679
3,3348827	185695,1287	0,052707035	0,092129521	0	3,2821758	0,04586354	51,58198018	0,048703735	3,6448827	0,362707035
3,3350546	185727,1287	0,051599387	0,092136525	0	3,2834551	0,046682532	51,59086907	0,049573444	3,6450546	0,361599387
3,3351882	185759,1287	0,050606325	0,092135884	0	3,2845819	0,047501523	51,59975796	0,050443152	3,6451882	0,360606325
3,3353982	185791,1287	0,049288608	0,092136525	0	3,2861097	0,048320516	51,60864685	0,051312863	3,6453982	0,359288608
3,3354747	185823,1287	0,048085473	0,092132062	0	3,2873893	0,049139509	51,61753574	0,052182574	3,6454747	0,358085473
3,3357229	185855,1287	0,046996925	0,092135884	0	3,2887261	0,049958501	51,62642463	0,053052284	3,6457229	0,356996925
3,3358376	185887,1287	0,045793794	0,092138432	0	3,2900438	0,050777491	51,63531352	0,053921992	3,6458376	0,355793794
3,3360095	185919,1287	0,044705242	0,092140347	0	3,2913043	0,05159648	51,64420241	0,054791699	3,6460095	0,354705242
3,3362958	185951,1287	0,04371218	0,092136525	0	3,2925837	0,052415474	51,6530913	0,05566141	3,6462958	0,35371218
3,3362195	185983,1287	0,042700022	0,092143528	0	3,2935195	0,053234462	51,66198019	0,056531116	3,6462195	0,352700022
3,3364105	186015,1287	0,041172232	0,092140347	0	3,2952383	0,05405345	51,67086908	0,057400821	3,6464105	0,351172232
3,3367159	186047,1287	0,040274657	0,092141613	0	3,2964413	0,054872437	51,67975797	0,058270525	3,6467159	0,350274657
3,3366969	186079,1287	0,0392434	0,092136525	0	3,2974534	0,055691424	51,68864687	0,05914023	3,6466969	0,3492434
3,3368688	186111,1287	0,038135752	0,092142262	0	3,298733	0,056510415	51,69753576	0,060009939	3,6468688	0,348135752
3,3370788	186143,1287	0,037123594	0,092137799	0	3,2999551	0,057329405	51,70642465	0,060879647	3,6470788	0,347123594
3,3371935	186175,1287	0,035863169	0,092142262	0	3,3013303	0,058148395	51,71531354	0,061749354	3,6471935	0,345863169
3,3372889	186207,1287	0,034889203	0,092140347	0	3,3023996	0,058967386	51,72420243	0,062619063	3,6472889	0,344889203
3,3374226	186239,1287	0,03391524	0,092132702	0	3,3035073	0,059786379	51,73309132	0,063488773	3,6474226	0,34391524
3,3377283	186271,1287	0,032788496	0,092131428	0	3,3049397	0,060605371	51,74198021	0,064358483	3,6477283	0,342788496
3,3378427	186303,1288	0,031890918	0,092141613	0	3,3059518	0,061424361	51,7508691	0,065228192	3,6478427	0,341890918
3,3379765	186335,1288	0,030687787	0,092139073	0	3,3072886	0,062243352	51,75975799	0,0660979	3,6479765	0,340687787
3,3380721	186367,1288	0,029656529	0,092133977	0	3,3084154	0,063062345	51,76864688	0,066967611	3,6480721	0,339656529
3,3383012	186399,1288	0,02864437	0,092136525	0	3,3096569	0,063881337	51,77753577	0,06783732	3,6483012	0,33864437
3,3384156	186431,1288	0,027517626	0,092139073	0	3,3108981	0,064700327	51,78642466	0,068707029	3,6484156	0,337517626
3,3385303	186463,1288	0,026524564	0,092126325	0	3,3120058	0,065519318	51,79531355	0,069576737	3,6485303	0,336524564
3,3387594	186495,1288	0,025626989	0,092148624	0	3,3131325	0,066338311	51,80420244	0,070446448	3,6487594	0,335626989
3,338855	186527,1288	0,02446205	0,092132702	0	3,314393	0,067157304	51,81309133	0,071316159	3,648855	0,33446205
3,3390651	186559,1288	0,023717253	0,092136525	0	3,3153479	0,067976298	51,82198022	0,072185871	3,6490651	0,333717253
3,3391223	186591,1288	0,022571411	0,092130795	0	3,316551	0,068795292	51,83086911	0,073055582	3,6491223	0,332571411
3,3390841	186623,1288	0,021521058	0,092139073	0	3,3175631	0,069614287	51,839758	0,073925295	3,6490841	0,331521058
3,3394089	186655,1288	0,020718968	0,092135884	0	3,3186898	0,070433283	51,84864689	0,074795009	3,6494089	0,330718968
3,3396189	186687,1288	0,019573128	0,092129521	0	3,3200457	0,071252276	51,85753578	0,07566472	3,6496189	0,329573128
3,3398671	186719,1288	0,018732844	0,092133977	0	3,3211343	0,072071267	51,86642467	0,076534429	3,6498671	0,328732844
3,3398862	186751,1288	0,017758878	0,092131428	0	3,3221273	0,07289026	51,87531356	0,07740414	3,6498862	0,327758878
3,3399818	186783,1288	0,016784914	0,092141613	0	3,3231969	0,073709254	51,88420245	0,078273851	3,6499818	0,326784914
3,3402109	186815,1288	0,015830046	0,09213461	0	3,3243809	0,07452825	51,89309134	0,079143566	3,6502109	0,325830046
3,34023	186847,1288	0,014894276	0,092135884	0	3,3253357	0,075347243	51,90198023	0,080013277	3,65023	0,324894276
3,3404019	186879,1288	0,013767532	0,092142887	0	3,3266344	0,076166235	51,91086912	0,080882986	3,6504019	0,323767532
3,3404975	186911,1288	0,012946346	0,092131428	0	3,3275511	0,076985225	51,91975801	0,081752694	3,6504975	0,322946346
3,3406501	186943,1289	0,01212516	0,092135884	0	3,3285248	0,077804212	51,9286469	0,082622399	3,6506501	0,32212516
3,3409176	186975,1289	0,011132098	0,092138432	0	3,3297856	0,0786232	51,93753579	0,083492104	3,6509176	0,321132098
3,3408411	187007,1289	0,010100841	0,092135251	0	3,3307402	0,07944219	51,94642468	0,084361811	3,6508411	0,320100841
3,3410704	187039,1289	0,009012291	0,092131428	0	3,3320582	0,080261178	51,95531357	0,085231517	3,6510704	0,319012291
3,3411849	187071,1289	0,008248397	0,092136525	0	3,3329365	0,081080168	51,96420246	0,086101225	3,6511849	0,318248397
3,3412614	187103,1289	0,007274433	0,092133977	0	3,333987	0,081899159	51,97309135	0,086970933	3,6512614	0,317274433
3,3414905	187135,1289	0,006395954	0,092125066	0	3,3350945	0,082718148	51,98198024	0,08784064	3,6514905	0,316395954
3,3415668	187167,1289	0,005498379	0,092133977	0	3,3360684	0,083537138	51,99086913	0,088710347	3,6515668	0,315498379
3,3417196	187199,1289	0,004658095	0,092133336	0	3,3370616	0,084356129	51,99975803	0,089580057	3,6517196	0,314658095
3,3419106	187231,1289	0,003607741	0,09213461	0	3,3383029	0,08517512	52,00864692	0,090449765	3,6519106	0,313607741
3,3421016	187263,1289	0,00274836	0,092135884	0	3,3393533	0,085994115	52,01753581	0,091319478	3,6521016	0,31274836
3,3422544	187295,1289	0,001640713	0,09214098	0	3,3406136	0,086813108	52,0264247	0,092189189	3,6522544	0,311640713
3,3424263	187327,1289	0,000953209	0,092139706	0	3,3414731	0,087632101	52,03531359	0,093058899	3,6524263	0,310953209
3,3424644	187359,1289	-2,08E-05	0,092138432	0	3,3424852	0,088451096	52,04420248	0,093928612	3,6524644	0,309979244
3,3426363	187391,1289	-0,000841943	0,092135251	0	3,3434782	0,089270089	52,05309137	0,094798323	3,6526363	0,309158057
3,3427126	187423,1289	-0,001682226	0,092139073	0	3,3443949	0,090089077	52,06198026	0,095668029	3,6527126	0,308317774
3,3428845	187455,1289	-0,002617997	0,092129521	0	3,3455026	0,090908066	52,07086915	0,096537735	3,6528845	0,307382003
3,3429992	187487,1289	-0,00353467	0,092136525	0	3,3465338	0,091727054	52,07975804	0,097407441	3,6529992	0,306465331
3,3431711	187519,1289	-0,004355856	0,092139073	0	3,347527	0,092546041	52,08864693	0,098277145	3,6531711	0,305644144
3,3433049	187551,1289	-0,005100653	0,092137799	0	3,3484056	0,09336503	52,09753582	0,099146852	3,6533049	0,304899347
3,3433812	187583,129	-0,006112812	0,092133336	0	3,349494	0,094184019	52,10642471	0,100016558	3,6533812	0,303887188
3,3435721	187615,129	-0,006953096	0,092140347	0	3,3505251	0,095003006	52,1153136	0,100886263	3,6535721	0,303046904
3,3436868	187647,129	-0,007869769	0,092136525	0	3,3515565	0,095821992	52,12420249	0,101755967	3,6536868	0,302130231
3,3438013	187679,129	-0,008633663	0,092132062	0	3,3524349	0,096640979	52,13309138	0,102625671	3,6538013	0,301366337
3,343935	187711,129	-0,009493044	0,092142887	0	3,3534281	0,097459967	52,14198027	0,103495376	3,653935	0,300506956
3,3439732	187743,129	-0,010428814	0,092133977	0	3,3544021	0,098278956	52,15086916	0,104365083	3,6539732	0,299571186
3,3441641	187775,129	-0,011230904	0,092135884	0	3,3553951	0,099097945	52,15975805	0,10523479	3,6541641	0,298769096
3,3442407	187807,129	-0,012052089	0,092132702	0	3,3562927	0,099916932	52,16864694	0,106104494	3,6542407	0,297947911
3,3445079	187839,129	-0,012796886	0,092142887	0	3,3573048	0,100735919	52,17753583	0,106974199	3,6545079	0,297203114
3,3444889	187871,129	-0,013732657	0,09212824	0	3,3582215	0,101554906	52,18642472	0,107843903	3,6544889	0,296267343
3,3447561	187903,129	-0,014668426	0,092135251	0	3,3594246	0,102373893	52,19531361	0,108713608	3,6547561	0,295331574
3,344909	187935,129	-0,015432321	0,09213461	0	3,3603413	0,10319288	52,2042025	0,109583312	3,654909	0,294567679
3,3447752	187967,129	-0,016272604	0,092133336	0	3,3610477	0,104011868	52,21309139	0,110453017	3,6547752	0,293727396
3,3451765	187999,129	-0,016979206	0,092146084	0	3,3621557	0,104830855	52,22198028	0,111322722	3,6551765	0,293020794
3,3451381	188031,129	-0,017953172	0,092139706	0	3,3630912	0,105649844	52,23086917	0,112192428	3,6551381	0,292046828
3,3452337	188063,129	-0,018678872	0,092139073	0	3,3639126	0,106468832	52,23975806	0,113062134	3,6552337	0,291321128
3,3454247	188095,129	-0,019404572	0,092143528	0	3,3648293	0,107287823	52,24864695	0,113931843	3,6554247	0,290595428
3,345711	188127,129	-0,020416731	0,092137158	0	3,3661277	0,108106814	52,25753584	0,114801552	3,655711	0,289583269
3,3456538	188159,129	-0,021199722	0,092137158	0	3,3668535	0,108925803	52,26642473	0,115671258	3,6556538	0,288800278
3,3457875	188191,129	-0,021849032	0,092144169	0	3,3676364	0,109744792	52,27531362	0,116540965	3,6557875	0,288150968
3,3458829	188223,1291	-0,022918483	0,092140347	0	3,3688014	0,110563783	52,28420251	0,117410673	3,6558829	0,287081517
3,3461313	188255,1291	-0,023701476	0,092135884	0	3,3698328	0,111382773	52,2930914	0,118280381	3,6561313	0,286298524
3,3460739	188287,1291	-0,024637247	0,092136525	0	3,3707111	0,112201764	52,30198029	0,11915009	3,6560739	0,285362753
3,3463414	188319,1291	-0,025133777	0,092133977	0	3,3714752	0,113020755	52,31086918	0,120019798	3,6563414	0,284866223
3,3461504	188351,1291	-0,025859477	0,092136525	0	3,37201	0,113839745	52,31975808	0,120889506	3,6561504	0,284140523
3,3464751	188383,1291	-0,026585177	0,09212824	0	3,3730602	0,114658738	52,32864697	0,121759216	3,6564751	0,283414823
3,3467424	188415,1291	-0,027482752	0,092133977	0	3,3742251	0,11547773	52,33753586	0,122628927	3,6567424	0,282517248
3,3468571	188447,1291	-0,028265743	0,092129521	0	3,3751228	0,116296727	52,34642475	0,123498642	3,6568571	0,281734257
3,347029	188479,1291	-0,029163318	0,092139073	0	3,3761923	0,117115723	52,35531364	0,124368356	3,657029	0,280836682
3,3469715	188511,1291	-0,029889017	0,092133336	0	3,3768606	0,117934719	52,36420253	0,12523807	3,6569715	0,280110983
3,3471625	188543,1291	-0,030633815	0,092133977	0	3,3777964	0,118753713	52,37309142	0,126107782	3,6571625	0,279366185
3,3472006	188575,1291	-0,031416807	0,092132702	0	3,3786175	0,11957271	52,38198031	0,126977496	3,6572006	0,278583193
3,3473344	188607,1291	-0,032237992	0,092136525	0	3,3795724	0,120391705	52,3908692	0,127847209	3,6573344	0,277762008
3,3476019	188639,1291	-0,033001889	0,092135251	0	3,3806038	0,121210701	52,39975809	0,128716924	3,6576019	0,276998111
3,3476591	188671,1291	-0,033670295	0,092132062	0	3,3813293	0,122029699	52,40864698	0,12958664	3,6576591	0,276329705
3,3477545	188703,1291	-0,034338702	0,092138432	0	3,3820932	0,122848697	52,41753587	0,130456356	3,6577545	0,275661298
3,3478882	188735,1291	-0,035236277	0,092139706	0	3,3831246	0,123667694	52,42642476	0,131326071	3,6578882	0,274763723
3,348022	188767,1291	-0,035923783	0,092139706	0	3,3839457	0,124486689	52,43531365	0,132195784	3,658022	0,274076217
3,3482893	188799,1291	-0,03666858	0,092136525	0	3,3849578	0,125305683	52,44420254	0,133065496	3,6582893	0,27333142
3,3482702	188831,1291	-0,037375182	0,092133977	0	3,3856454	0,126124677	52,45309143	0,133935208	3,6582702	0,272624818
3,3484993	188863,1292	-0,038272757	0,092136525	0	3,3867722	0,12694367	52,46198032	0,134804918	3,6584993	0,271727243
3,3484802	188895,1292	-0,038960263	0,092139073	0	3,3874404	0,127762662	52,47086921	0,135674629	3,6584802	0,271039737
3,3485758	188927,1292	-0,039685961	0,092137799	0	3,3882618	0,128581655	52,4797581	0,136544339	3,6585758	0,270314039
3,348805	188959,1292	-0,040392563	0,092132702	0	3,3891976	0,129400647	52,48864699	0,137414049	3,658805	0,269607437
3,3489578	188991,1292	-0,041118264	0,092137799	0	3,3900762	0,130219639	52,49753588	0,138283759	3,6589578	0,268881736
3,3490341	189023,1292	-0,041920353	0,092138432	0	3,3909545	0,131038632	52,50642477	0,13915347	3,6590341	0,268079647
3,3489578	189055,1292	-0,042512368	0,092139706	0	3,3914702	0,131857624	52,51531366	0,140023179	3,6589578	0,267487632
3,349225	189087,1292	-0,043429043	0,092127606	0	3,3926542	0,132676613	52,52420255	0,140892886	3,659225	0,266570957
3,3493016	189119,1292	-0,043944672	0,092133336	0	3,3932462	0,133495605	52,53309144	0,141762596	3,6593016	0,266055328
3,3492825	189151,1292	-0,044708565	0,092137799	0	3,393991	0,134314596	52,54198033	0,142632304	3,6592825	0,265291435
3,3496835	189183,1292	-0,045357876	0,092139706	0	3,3950415	0,135133589	52,55086922	0,143502015	3,6596835	0,264642124
3,3497598	189215,1292	-0,046140868	0,092139073	0	3,3959007	0,13595258	52,55975811	0,144371724	3,6597598	0,263859132
3,3497598	189247,1292	-0,046809275	0,092139706	0	3,396569	0,136771573	52,568647	0,145241435	3,6597598	0,263190725
3,3499317	189279,1292	-0,047573168	0,092142887	0	3,3975048	0,137590566	52,57753589	0,146111145	3,6599317	0,262426832
3,350008	189311,1292	-0,04827977	0,092142887	0	3,3982878	0,13840956	52,58642478	0,146980857	3,660008	0,26172023
3,3501799	189343,1292	-0,049062762	0,092139706	0	3,3992426	0,139228552	52,59531367	0,147850568	3,6601799	0,260937238
3,3502946	189375,1292	-0,049502	0,092140347	0	3,3997965	0,140047546	52,60420256	0,148720279	3,6602946	0,260498
3,3503137	189407,1292	-0,050456867	0,092135251	0	3,4007704	0,14086654	52,61309145	0,149589991	3,6603137	0,259543133
3,3504856	189439,1292	-0,051220763	0,092137799	0	3,4017062	0,14168553	52,62198034	0,150459698	3,6604856	0,258779237
3,3507721	189471,1292	-0,051698197	0,092139073	0	3,4024704	0,14250452	52,63086923	0,151329406	3,6607721	0,258301803
3,3509438	189503,1293	-0,052347507	0,092135884	0	3,4032912	0,143323512	52,63975813	0,152199116	3,6609438	0,257652493
3,3508484	189535,1293	-0,0531114	0,092135884	0	3,4039598	0,144142503	52,64864702	0,153068824	3,6608484	0,2568886
3,3510585	189567,1293	-0,053913489	0,092144169	0	3,4049721	0,144961493	52,65753591	0,153938533	3,6610585	0,256086511
3,3511732	189599,1293	-0,054505508	0,092139706	0	3,4056787	0,145780484	52,6664248	0,154808241	3,6611732	0,255494492
3,3513067	189631,1293	-0,055154819	0,092132062	0	3,4064615	0,146599472	52,67531369	0,155677947	3,6613067	0,254845181
3,3514786	189663,1293	-0,055842321	0,092139706	0	3,407321	0,147418462	52,68420258	0,156547654	3,6614786	0,254157679
3,3515933	189695,1293	-0,056415241	0,092136525	0	3,4080086	0,148237451	52,69309147	0,157417361	3,6615933	0,253584759
3,3516123	189727,1293	-0,057083651	0,09213461	0	3,4086959	0,149056441	52,70198036	0,158287069	3,6616123	0,252916349
3,3516505	189759,1293	-0,057752058	0,092133977	0	3,4094026	0,14987543	52,71086925	0,159156776	3,6616505	0,252247942
3,3519371	189791,1293	-0,058401369	0,092139073	0	3,4103384	0,15069442	52,71975814	0,160026483	3,6619371	0,251598631
3,3520324	189823,1293	-0,059260748	0,092142887	0	3,4112933	0,151513409	52,72864703	0,16089619	3,6620324	0,250739252
3,3520706	189855,1293	-0,059948254	0,092135251	0	3,4120188	0,1523324	52,73753592	0,161765898	3,6620706	0,250051746
3,3521662	189887,1293	-0,060425688	0,092139706	0	3,4125919	0,153151395	52,74642481	0,162635612	3,6621662	0,249574312
3,352319	189919,1293	-0,061304163	0,092139706	0	3,4136231	0,153970388	52,7553137	0,163505322	3,662319	0,248695837
3,3524144	189951,1293	-0,061686113	0,092136525	0	3,4141004	0,154789378	52,76420259	0,16437503	3,6624144	0,248313887
3,3526244	189983,1293	-0,062450007	0,092136525	0	3,4150743	0,155608371	52,77309148	0,16524474	3,6626244	0,247549993
3,3526053	190015,1293	-0,063194804	0,092137158	0	3,4158001	0,156427365	52,78198037	0,166114453	3,6626053	0,246805196
3,3526053	190047,1293	-0,06378682	0,092142887	0	3,4163921	0,157246361	52,79086926	0,166984166	3,6626053	0,24621318
3,3528728	190079,1293	-0,06443613	0,092137799	0	3,417309	0,158065353	52,79975815	0,167853877	3,6628728	0,24556387
3,3529873	190111,1293	-0,065200023	0,09212824	0	3,4181874	0,158884345	52,80864704	0,168723586	3,6629873	0,244799977
3,3530829	190143,1294	-0,065620169	0,092136525	0	3,4187031	0,159703337	52,81753593	0,169593296	3,6630829	0,244379831
3,3532739	190175,1294	-0,066384062	0,092138432	0	3,4196579	0,160522331	52,82642482	0,170463008	3,6632739	0,243615938
3,3533311	190207,1294	-0,066880591	0,092137158	0	3,4202118	0,161341326	52,83531371	0,17133272	3,6633311	0,243119409
3,3536558	190239,1294	-0,067548998	0,092139073	0	3,4212048	0,162160318	52,8442026	0,172202431	3,6636558	0,242451002
3,3535411	190271,1294	-0,068255603	0,092139073	0	3,4217968	0,162979312	52,85309149	0,173072142	3,6635411	0,241744397
3,353713	190303,1294	-0,068713941	0,092133336	0	3,4224269	0,163798306	52,86198038	0,173941854	3,663713	0,241286059
3,3537705	190335,1294	-0,069458738	0,092139706	0	3,4232292	0,164617298	52,87086927	0,174811564	3,6637705	0,240541262
3,3539231	190367,1294	-0,069993466	0,092135251	0	3,4239166	0,16543629	52,87975816	0,175681274	3,6639231	0,240006534
3,3539231	190399,1294	-0,070814647	0,092136525	0	3,4247377	0,166255281	52,88864705	0,176550983	3,6639231	0,239185353
3,3541906	190431,1294	-0,071196593	0,092135884	0	3,4253871	0,167074273	52,89753594	0,177420693	3,6641906	0,238803407
3,3544388	190463,1294	-0,071903199	0,092136525	0	3,426342	0,167893263	52,90642483	0,1782904	3,6644388	0,238096801
3,3544197	190495,1294	-0,072571605	0,092142887	0	3,4269912	0,168712254	52,91531372	0,179160108	3,6644197	0,237428395
3,3545153	190527,1294	-0,073144525	0,092133977	0	3,4276597	0,169531247	52,92420261	0,180029819	3,6645153	0,236855475
3,3547635	190559,1294	-0,073660158	0,092138432	0	3,4284236	0,170350242	52,9330915	0,180899532	3,6647635	0,236339842
3,3546679	190591,1294	-0,074385852	0,092137158	0	3,4290538	0,171169236	52,94198039	0,181769244	3,6646679	0,235614148
3,3547254	190623,1294	-0,074805997	0,09213461	0	3,4295313	0,171988226	52,95086928	0,182638952	3,6647254	0,235194003
3,3549545	190655,1294	-0,075722672	0,092144169	0	3,4306772	0,172807217	52,95975818	0,183508661	3,6649545	0,234277328
3,3551073	190687,1294	-0,07614281	0,092129521	0	3,4312501	0,173626209	52,96864707	0,18437837	3,6651073	0,23385719
3,3551455	190719,1294	-0,076811217	0,092136525	0	3,4319568	0,1744452	52,97753596	0,185248079	3,6651455	0,233188783
3,3552217	190751,1294	-0,077250458	0,09212888	0	3,4324722	0,17526419	52,98642485	0,186117787	3,6652217	0,232749542
3,3554318	190783,1295	-0,07786157	0,092135251	0	3,4332933	0,176083179	52,99531374	0,186987493	3,6654318	0,23213843
