index,cycle_number,file_number,test_time,state,current,voltage,step_index,method,substep_index,cycle_capacity,cycle_energy,date_stamp,step_time,charge_capacity,discharge_Capacity
0,0,0,0,hold,0,3.4259556,0,rest,0,0,0,43374.42,0,0,0
1,0,0,10.002,hold,0,3.42641337,0,rest,0,0,0,43374.42,10.002,0,0
2,0,0,19.998,hold,0,3.42626078,0,rest,0,0,0,43374.42,9.996,0,0
3,0,0,30,hold,0,3.42656596,0,rest,0,0,0,43374.42,10.002,0,0
4,0,0,40.002,hold,0,3.42656596,0,rest,0,0,0,43374.42,10.002,0,0
5,0,0,49.998,hold,0,3.42641337,0,rest,0,0,0,43374.42,9.996,0,0
6,0,0,60,hold,0,3.42641337,0,rest,0,0,0,43374.42,10.002,0,0
7,0,0,70.002,hold,0,3.42641337,0,rest,0,0,0,43374.42,10.002,0,0
8,0,0,79.998,hold,0,3.42641337,0,rest,0,0,0,43374.42,9.99600000000001,0,0
9,0,0,90,hold,0,3.42641337,0,rest,0,0,0,43374.42,10.002,0,0
10,0,0,100.002,hold,0,3.42641337,0,rest,0,0,0,43374.42,10.002,0,0
11,0,0,109.998,hold,0,3.42641337,0,rest,0,0,0,43374.42,9.99600000000001,0,0
12,0,0,120,hold,0,3.42641337,0,rest,0,0,0,43374.42,10.002,0,0
13,1,0,120.06,charging,-0.0510414282,3.44121462,0,other,0,0,0,43374.42,0.0600000000000023,0,0
14,1,0,157.35,charging,-0.0499977111,3.46120394,0,other,0,-0.00052329854229125,-0.00180595875838372,43374.42,37.29,0,0
15,1,0,254.7,charging,-0.05,3.48119326,0,other,0,-0.00187535092778917,-0.00649920141536384,43374.42,97.35,0,0
16,1,0,417.72,charging,-0.05,3.50118257,0,constant_current,1,-0.00413951759445583,-0.0144038327195763,43374.42,163.02,0,0
17,1,0,717.72,charging,-0.05,3.51216907,0,constant_current,1,-0.0083061842611225,-0.0290149819695763,43374.42,300,0,0
18,1,0,1017.72,charging,-0.0499977111,3.51873045,0,constant_current,1,-0.0124727555569558,-0.0436623537186544,43374.42,300,0,0
19,1,0,1317.72,charging,-0.0499977111,3.52498665,0,constant_current,1,-0.0166392314819558,-0.0583360925784848,43374.42,300,0,0
20,1,0,1617.72,charging,-0.0500022889,3.53154803,0,constant_current,1,-0.0208058981486225,-0.0730372071209157,43374.42,300,0,0
21,1,0,1917.72,charging,-0.0499954223,3.53841459,0,constant_current,1,-0.0249724694486225,-0.0877659578109081,43374.42,300,0,0
22,1,0,2217.72,charging,-0.0499954223,3.54695964,0,constant_current,1,-0.0291387546402892,-0.102525802676841,43374.42,300,0,0
23,1,0,2517.72,charging,-0.0499977111,3.55718318,0,constant_current,1,-0.0333051351986225,-0.117325084428769,43374.42,300,0,0
24,1,0,2817.72,charging,-0.0499931334,3.56878004,0,constant_current,1,-0.0374714203861225,-0.132169480827869,43374.42,300,0,0
25,1,0,3117.72,charging,-0.0500022889,3.57976654,0,constant_current,1,-0.0416378963152892,-0.147061606550478,43374.42,300,0,0
26,1,0,3417.72,charging,-0.0499977111,3.59105821,0,constant_current,1,-0.0458045629819558,-0.162000823702748,43374.42,300,0,0
27,1,0,3717.72,charging,-0.0500022889,3.60234989,0,constant_current,1,-0.0499712296486225,-0.176987091654645,43374.42,300,0,0
28,1,0,4017.72,charging,-0.0499908446,3.6130312,0,constant_current,1,-0.0541376102111225,-0.192018100870179,43374.42,300,0,0
29,1,0,4317.72,charging,-0.0500045777,3.62203403,0,constant_current,1,-0.0583040861402892,-0.207090466009318,43374.42,300,0,0
30,1,0,4617.72,charging,-0.0499954223,3.63241016,0,constant_current,1,-0.0624707528069558,-0.222203889426034,43374.42,300,0,0
31,1,0,4917.72,charging,-0.0499931334,3.6427863,0,constant_current,1,-0.0666369426277892,-0.237358813649351,43374.42,300,0,0
32,1,0,5217.72,charging,-0.0500022889,3.6505684,0,constant_current,1,-0.0708034185569558,-0.252552608533918,43374.42,300,0,0
33,1,0,5517.72,charging,-0.05,3.65636683,0,constant_current,1,-0.0749701805944558,-0.267775738420835,43374.42,300,0,0
34,1,0,5817.72,charging,-0.05,3.66201266,0,constant_current,1,-0.0791368472611225,-0.283022362358335,43374.42,300,0,0
35,1,0,6117.72,charging,-0.05,3.66750591,0,constant_current,1,-0.0833035139277892,-0.298292192712502,43374.42,300,0,0
36,1,0,6417.72,charging,-0.0500045777,3.67269398,0,constant_current,1,-0.0874703713319559,-0.313584976337136,43374.42,300,0,0
37,1,0,6717.72,charging,-0.0500022889,3.67696651,0,constant_current,1,-0.0916373241069558,-0.328897820220465,43374.42,300,0,0
38,1,0,7017.72,charging,-0.0500068666,3.68139162,0,constant_current,1,-0.0958043722527892,-0.344229136943479,43374.42,300,0,0
39,1,0,7317.72,charging,-0.0500022889,3.68566415,0,constant_current,1,-0.0999714203986225,-0.359578574579328,43374.42,300,0,0
40,1,0,7617.72,charging,-0.0499977111,3.68993668,0,constant_current,1,-0.104138087065289,-0.374944409234353,43374.42,300,0,0
41,1,0,7917.72,charging,-0.0500045777,3.69451438,0,constant_current,1,-0.108304849098622,-0.39032903504612,43374.42,300,0,0
42,1,0,8217.72,charging,-0.0499977111,3.69909209,0,constant_current,1,-0.112471611131956,-0.405732733755561,43374.42,299.999999999999,0,0
43,1,0,8517.72,charging,-0.05,3.70366979,0,constant_current,1,-0.116638182427789,-0.4211548015534,43374.42,300,0,0
44,1,0,8817.72,charging,-0.0499977111,3.70855268,0,constant_current,1,-0.120804753723622,-0.436596578011473,43374.42,300,0,0
45,1,0,9117.72,charging,-0.0499931334,3.71343557,0,constant_current,1,-0.124971038911122,-0.452057637399685,43374.42,300,0,0
46,1,0,9417.72,charging,-0.05,3.71877623,0,constant_current,1,-0.129137419469456,-0.467540349538157,43374.42,300,0,0
47,1,0,9717.72,charging,-0.0499977111,3.72411688,0,constant_current,1,-0.133303990765289,-0.483046021678526,43374.42,300,0,0
48,1,0,10017.72,charging,-0.0499954223,3.72945754,0,constant_current,1,-0.137470371323622,-0.498573235200655,43374.42,300,0,0
49,1,0,10317.72,charging,-0.0499954223,3.73510338,0,constant_current,1,-0.141636656515289,-0.5141229800123,43374.42,300,0,0
50,1,0,10617.72,charging,-0.05,3.7410544,0,constant_current,1,-0.145803132444456,-0.529697596296353,43374.42,300,0,0
