Time [s],Current function [A],Voltage [V],Bulk open-circuit voltage [V]
0.0,0.0,3.751123432181183,3.7506596039795514
1.0,0.0,3.7508186073365386,3.7509441570010615
2.0,0.0,3.7508902973965865,3.750877846051747
4.0,0.25,3.7444774961555805,3.7508855161176586
6.0,0.25,3.744057146888836,3.7508447616320186
8.0,0.25,3.7437857878950505,3.7507705838841927
10.0,0.25,3.7440000196713576,3.7506384016245735
12.0,0.25,3.743437971969116,3.751092342472643
14.0,0.25,3.7433529692795946,3.750521333259983
16.0,0.25,3.7433976082497673,3.750709533536337
18.0,0.25,3.74319415552473,3.750616639120468
20.0,0.25,3.7429564302749228,3.7507507830462985
22.0,0.25,3.7426125388572933,3.7507332542390603
24.0,0.25,3.7429602992152904,3.7504514361333303
26.0,0.25,3.7427308251024067,3.7504193909664068
28.0,0.25,3.742708604006984,3.750669831545643
30.0,0.25,3.742778256064265,3.7509134342182997
32.0,0.25,3.7424027756912444,3.750292371861956
34.0,0.25,3.742332835078799,3.750432163689963
36.0,0.25,3.742523386458628,3.7500238166072863
38.0,0.25,3.742299048401311,3.7503192293014957
40.0,0.25,3.742063637427781,3.7502222360298094
42.0,0.25,3.741920988852285,3.750525534204605
44.0,0.25,3.741863994127065,3.7500583264445626
46.0,0.25,3.7413862903376693,3.750187788046583
48.0,0.25,3.741777692281823,3.7505788976694734
50.0,0.25,3.741960813360955,3.750133120358508
52.0,0.25,3.7419892518681217,3.750039656402969
54.0,0.25,3.7419430967355063,3.7501796287891
56.0,0.25,3.7413284913990417,3.7500688104264066
58.0,0.25,3.7414517346508296,3.750181658207282
60.0,0.25,3.7415194040409574,3.74982529419728
62.0,0.25,3.741649530193304,3.7502950333629683
64.0,0.0,3.7478655433461334,3.7498281339855737
66.0,0.0,3.748065723327628,3.750260971660945
68.0,0.0,3.7476854890113724,3.7498564799405534
70.0,0.0,3.7481012672009193,3.750469540376487
72.0,0.0,3.748084668970931,3.7505333562154135
74.0,0.0,3.7485246724277963,3.7501075531103907
76.0,0.0,3.7485346064704568,3.75025249349137
78.0,0.0,3.748398254727719,3.750660026739519
80.0,0.0,3.7485044407659682,3.7501665222655802
82.0,0.0,3.7483627181372414,3.750149696296961
84.0,0.0,3.748738210070412,3.750351190806254
86.0,0.0,3.748730009681863,3.7502195404596965
88.0,0.0,3.7485650206413075,3.750047994529648
90.0,0.0,3.7487286925463064,3.749789639752909
92.0,0.0,3.7488569560184932,3.749996950632189
94.0,0.0,3.7494430957856677,3.7502616536014064
96.0,0.0,3.7489020542390845,3.7502063798165675
98.0,0.0,3.7492025798402486,3.7497555759880683
100.0,0.0,3.749306516317618,3.7502016098924695
102.0,0.0,3.749236181129794,3.7498341151975074
104.0,0.0,3.7489401581977053,3.7500100135918513
106.0,0.0,3.7493899179734864,3.7500155702104405
108.0,0.0,3.7491649229381565,3.7499838654705298
110.0,0.0,3.7495849751410835,3.750215144905683
112.0,0.0,3.7487857031669054,3.7498410894342316
114.0,0.0,3.749026121990922,3.7502865847682547
116.0,0.0,3.7494931881116944,3.7502700493492442
118.0,0.0,3.7492865436648177,3.750088991426956
120.0,0.0,3.7489947311859284,3.750106399256944
122.0,0.0,3.7494663689153365,3.7501901293428794
124.0,0.0,3.749507439576597,3.7500683256845577
126.0,0.0,3.749087834391813,3.750230032074947
128.0,0.0,3.7493682298522786,3.7499107140724472
130.0,0.0,3.749486451746936,3.750027689882456
132.0,0.0,3.7492808511459805,3.7498176611661664
134.0,0.0,3.749398853833816,3.750360820975405
136.0,0.0,3.749439749837895,3.7501389377103576
138.0,0.0,3.7493772145363966,3.749918551155598
140.0,0.0,3.7494571598075153,3.750130827999143
142.0,0.0,3.7491743101312176,3.7502197938723523
144.0,0.0,3.7495682074139998,3.750364980608121
146.0,0.0,3.7493825079643774,3.749997024846158
148.0,0.0,3.749201622906892,3.7504079994851978
150.0,0.0,3.7493574904758593,3.7499782835684714
152.0,0.0,3.7495259011116833,3.750034386830556
154.0,0.0,3.7489711992467343,3.750335492492491
156.0,0.0,3.7491443879623016,3.750241220749654
158.0,0.0,3.749025300507312,3.7499414262725925
160.0,0.0,3.7494382181622834,3.7501242184547547
162.0,0.0,3.7496348081854083,3.7496803415285718
164.0,0.0,3.749488039838294,3.7501867165598073
166.0,0.0,3.749235113685668,3.750306149451379
168.0,0.0,3.7496474795990817,3.7504264847303923
170.0,0.0,3.7494897171865538,3.7504602473627666
172.0,0.0,3.749779318144086,3.7501367855497203
174.0,0.0,3.749599273312193,3.750087744860076
176.0,0.0,3.7495963898490716,3.75041909330448
178.0,0.0,3.7497294866137665,3.7502776573066394
180.0,0.0,3.7497240658963165,3.749879180185302
182.0,0.0,3.7493556277623186,3.7501968520040783
184.0,0.0,3.7496359649291544,3.7499444254462784
186.0,0.0,3.7495683132643878,3.749975427293311
188.0,0.0,3.7499294652797737,3.7502144406162787
190.0,0.0,3.749614130006544,3.750041463993
192.0,0.0,3.7497866555761825,3.7505158466260253
194.0,0.0,3.749505326567526,3.750029782621538
196.0,0.0,3.749702057826211,3.7500914186487786
198.0,0.0,3.7495840978110855,3.749918571352554
200.0,0.0,3.749477912183712,3.7497473242731467
202.0,0.0,3.7495529023308944,3.750067855534708
204.0,0.0,3.7495086480803943,3.750118241209319
206.0,0.0,3.749687682343756,3.750239202156799
208.0,0.0,3.7496598415816766,3.75015282638174
210.0,0.0,3.749423170552361,3.749825361011553
212.0,0.0,3.7496594159110668,3.7503893615045065
214.0,0.0,3.7498365659057136,3.7495067003790683
216.0,0.0,3.749777010286158,3.7498009576591387
218.0,0.0,3.749948548158111,3.7499979884557724
220.0,0.0,3.7496649896867678,3.75035791601256
222.0,0.0,3.749666405153674,3.7499435558618517
224.0,0.0,3.7498480696212804,3.749867939385158
226.0,0.0,3.749673603058356,3.7502930405657215
228.0,0.0,3.7498580207111076,3.7501851923835017
230.0,0.0,3.749803727684629,3.7499103131678653
232.0,0.0,3.749619971801729,3.7501726307386662
234.0,0.0,3.749649012721695,3.74983073650014
236.0,0.0,3.749674247273578,3.7502987197235336
238.0,0.0,3.749718755415663,3.750167252643015
240.0,0.0,3.749722680107146,3.7502167067957832
242.0,0.0,3.749884439068285,3.7500031581565803
244.0,0.0,3.749780456361028,3.750263125289988
246.0,0.0,3.7495810137063783,3.7504069595276475
248.0,0.0,3.7498526865772193,3.749956725205222
250.0,0.0,3.7497233638118224,3.7498313512811285
252.0,0.0,3.749647016676095,3.749891605847915
254.0,0.0,3.7496232422421047,3.7499863000846867
256.0,0.0,3.7497793248715943,3.7501782898490106
258.0,0.0,3.7497591760122573,3.750404873209598
260.0,0.0,3.749884920662126,3.750450960547038
262.0,0.0,3.749553803249722,3.7499622159333565
264.0,0.0,3.7497541141889683,3.7498033332373137
266.0,0.0,3.749699031411845,3.7503605509440803
268.0,0.0,3.7501134592273306,3.7503765219260767
270.0,0.0,3.7499742495435284,3.7503322725184325
272.0,0.0,3.7496564079896713,3.7502112977768354
274.0,0.0,3.7498150177169336,3.749870675006646
276.0,0.0,3.749520253343038,3.7502229461087078
278.0,0.0,3.7498717996756166,3.7500925211280296
280.0,0.0,3.7496228530918123,3.750263559319957
282.0,0.0,3.7499240173234316,3.7499786133290725
284.0,0.0,3.749928255326627,3.7503018858764006
