Time [s],Current function [A],Voltage [V],Bulk open-circuit voltage [V]
0.0,0.0,3.43451972532768,3.4331598009163025
1.0,0.0,3.433757663216069,3.434399136057415
2.0,0.0,3.4339368883661887,3.4349251119979285
4.0,0.5,3.41393072048524,3.434228148133427
6.0,0.5,3.4127629886078354,3.4331309660362495
8.0,0.5,3.412006304891746,3.434577545000665
10.0,0.5,3.412477285891569,3.4346508929414723
12.0,0.5,3.4110129146103665,3.433500073789556
14.0,0.5,3.4107439204165813,3.4337759934181187
16.0,0.5,3.4108004375196406,3.434708275078513
18.0,0.5,3.4102380445904124,3.433387842096123
20.0,0.5,3.4095906743038142,3.4332589848381097
22.0,0.5,3.408680136774007,3.4336758080346894
24.0,0.5,3.4095011198970075,3.433259648150328
26.0,0.5,3.408880797779549,3.4327436281648738
28.0,0.5,3.408782444515381,3.4320104647194323
30.0,0.5,3.4089151587042554,3.432441343869954
32.0,0.5,3.407938070621976,3.433015581500577
34.0,0.5,3.4077273124937695,3.4327897553007487
36.0,0.5,3.4081696749243586,3.43157498184603
38.0,0.5,3.407577191984633,3.4326021803775197
40.0,0.5,3.4069586238376637,3.4315954348643913
42.0,0.5,3.406573823614316,3.4319470493282713
44.0,0.5,3.40640456696935,3.4318726864066105
46.0,0.5,3.405184827065373,3.4317050469427746
48.0,0.5,3.40613931360255,3.4321947445710523
50.0,0.5,3.4065746445504494,3.4311709813877904
52.0,0.5,3.406624267158786,3.4321959714738424
54.0,0.5,3.406488413905656,3.432065760733762
56.0,0.5,3.404932649564791,3.4315241195928987
58.0,0.5,3.4052227691074592,3.431478518491253
60.0,0.5,3.4053750221813335,3.4315985984892805
62.0,0.5,3.405684309805234,3.4312047193879143
70.0,0.0,3.4264155012518636,3.4308106903576383
78.0,0.0,3.427600375126801,3.4311031298826595
86.0,0.0,3.4270594701447856,3.4305780580919363
94.0,0.0,3.4283625864288267,3.4319359576150337
102.0,0.0,3.428493530292425,3.4313812494524143
110.0,0.0,3.429705093353828,3.430830283065516
118.0,0.0,3.4297985732906895,3.4313609751743788
126.0,0.0,3.4294962151241073,3.4315833898574013
134.0,0.0,3.4297786423611636,3.431946356696824
142.0,0.0,3.429425661353915,3.431026467291916
150.0,0.0,3.4303527587024805,3.4320539038895155
158.0,0.0,3.4303129186383052,3.4309796140976987
166.0,0.0,3.429874353432368,3.431119872252911
174.0,0.0,3.430251950235689,3.4318726364077476
182.0,0.0,3.4305386882526516,3.4316369570506557
190.0,0.0,3.4319672493556657,3.4308874708580026
198.0,0.0,3.4305766578370833,3.4313444513134086
206.0,0.0,3.4312894830822778,3.4302347589979503
214.0,0.0,3.431510393295335,3.4315006965760393
222.0,0.0,3.4312961478873603,3.4317992788049683
230.0,0.0,3.430518075090807,3.4321001170025016
238.0,0.0,3.4316052615692088,3.4321845235834374
246.0,0.0,3.431006595220908,3.4313758690508216
254.0,0.0,3.432021400247698,3.4312532673267118
262.0,0.0,3.429988661127025,3.4320816384377215
270.0,0.0,3.430556111258403,3.43172804844312
278.0,0.0,3.431691401105304,3.430731855639777
286.0,0.0,3.4311432671163944,3.431526035186717
294.0,0.0,3.4303829418671987,3.4308949687922174
302.0,0.0,3.431532022837265,3.430972473409799
310.0,0.0,3.431605800735776,3.4315700067172186
318.0,0.0,3.430528652797227,3.4311375651590215
326.0,0.0,3.43120221296405,3.4323235217415853
334.0,0.0,3.4314710094388037,3.4311083617303666
342.0,0.0,3.4309312132691576,3.4312624517984682
350.0,0.0,3.431201152329629,3.4308303335579065
358.0,0.0,3.431278975342922,3.430402215859388
366.0,0.0,3.431098804972079,3.4312035440132913
374.0,0.0,3.431275620017045,3.431329508199818
382.0,0.0,3.4305460603995264,3.4316319105685187
390.0,0.0,3.4315089389207696,3.4314159711308707
398.0,0.0,3.431023361415309,3.430597307705404
406.0,0.0,3.4305505125187166,3.432007308937788
414.0,0.0,3.4309201224461416,3.429800656124192
422.0,0.0,3.4313216197204124,3.430536299324368
430.0,0.0,3.429915824271078,3.431028876315952
438.0,0.0,3.4303302039846963,3.4319286952079215
446.0,0.0,3.430014301317591,3.4308927948311507
454.0,0.0,3.4310288036129557,3.4307037536394165
462.0,0.0,3.4315030890896545,3.4317665065908254
470.0,0.0,3.4311193853933672,3.4314968861352755
478.0,0.0,3.4304706620480094,3.430809688096185
486.0,0.0,3.431485512257411,3.431465482023187
494.0,0.0,3.4310753572271726,3.4306107464268725
502.0,0.0,3.431783899607645,3.431780704485355
510.0,0.0,3.431318677870843,3.4314520367840595
518.0,0.0,3.4312968515801052,3.43157567216598
526.0,0.0,3.431615304888281,3.431041800567972
534.0,0.0,3.4315877734520064,3.4316917184014915
542.0,0.0,3.43065298783853,3.43205130399564
550.0,0.0,3.43134041059635,3.430925718189577
558.0,0.0,3.431158113855597,3.4306122833793427
566.0,0.0,3.43204805776804,3.430762919796309
574.0,0.0,3.43124699444053,3.4309996553882387
582.0,0.0,3.4316657710232175,3.431479629799048
590.0,0.0,3.4309500760368836,3.4320460882005173
598.0,0.0,3.431429700042381,3.4321613065441166
606.0,0.0,3.431123045561627,3.4309394450099133
614.0,0.0,3.4308460367646068,3.430542238269806
622.0,0.0,3.4310221678551756,3.431935282536723
630.0,0.0,3.4309003761741317,3.4319752099917142
638.0,0.0,3.4313369859471354,3.4318645864726034
646.0,0.0,3.43125657881785,3.43156214961861
654.0,0.0,3.4306542572179444,3.430710592693138
662.0,0.0,3.4312343669431025,3.431591270448292
664.0,-0.5,3.4518809151814263,3.431782173431976
666.0,-0.5,3.452996535970152,3.4311590536715766
668.0,-0.5,3.4528686974115392,3.432056355716513
670.0,-0.5,3.4533869021605876,3.4307343546084663
672.0,-0.5,3.4543075945434873,3.431606258350472
674.0,-0.5,3.4543001401301026,3.4319399570344205
676.0,-0.5,3.4551589768379425,3.4313220265106077
678.0,-0.5,3.4553949192439677,3.4321036422914832
680.0,-0.5,3.4552846429525963,3.4318315935423
682.0,-0.5,3.4556866304171177,3.432242030063883
684.0,-0.5,3.4560616442205956,3.4313623082357583
686.0,-0.5,3.456469229311463,3.432008868319467
688.0,-0.5,3.456761269920581,3.4329798898225583
690.0,-0.5,3.4574350659337854,3.432778285547872
692.0,-0.5,3.4574327879773357,3.4323149177219214
694.0,-0.5,3.4571811559329015,3.432581061367999
696.0,-0.5,3.458097482327438,3.4333514922942965
698.0,-0.5,3.4580022600588545,3.433074760612132
700.0,-0.5,3.4580311109262873,3.4325623630087163
702.0,-0.5,3.458183626622151,3.432404025175639
704.0,-0.5,3.4587785826434216,3.4335967030690293
706.0,-0.5,3.458926242476369,3.4334797202288416
708.0,-0.5,3.4594323856874527,3.433157830351722
710.0,-0.5,3.4587905402330965,3.4339469512574046
712.0,-0.5,3.4594717683818397,3.433527565900547
714.0,-0.5,3.45950929659751,3.4344334530753504
716.0,-0.5,3.460715797477806,3.4325909156148007
718.0,-0.5,3.460533706763499,3.434385167917686
720.0,-0.5,3.459900810711005,3.434721956555611
722.0,-0.5,3.4604550757516694,3.4342185140712718
730.0,0.0,3.4389830872929172,3.4339331168715628
